科目	文件	页数	大小(Byte)	可提取文本字符数
公共英语	2020年河南专升本公共英语真题_公开网页整理.pdf	12	277031	20296
公共英语	2021年河南专升本公共英语真题及参考答案解析_非官方.pdf	19	612691	34864
公共英语	2022年河南专升本公共英语真题及参考答案_考生回忆版.pdf	10	319911	22965
公共英语	2023年河南专升本公共英语真题_公开网页整理.pdf	9	289625	19714
公共英语	2024年河南专升本公共英语真题及参考答案_考生回忆版.pdf	16	16619419	0
公共英语	2025年河南专升本公共英语真题及参考答案_回忆整理版.pdf	12	5324267	0
公共英语	2026年河南专升本公共英语真题_考生回忆版_无答案.pdf	11	36178414	0
管理学	2020年河南专升本管理学真题_公开网页整理.pdf	9	537791	6078
管理学	2021年河南专升本管理学真题及部分参考答案解析_非官方.pdf	18	619358	14489
管理学	2022年河南专升本管理学真题及部分主观题参考答案_回忆整理版.pdf	11	558739	10662
管理学	2023年河南专升本管理学真题_公开网页整理.pdf	8	516627	8455
管理学	2024年河南专升本管理学真题_公开网页整理.pdf	11	569124	6930
管理学	2025年河南专升本管理学真题_公开网页整理.pdf	11	551747	7165
管理学	2026年河南专升本管理学真题_考生回忆版_无答案.pdf	10	9953608	0
